sentiment,review_body,product_category
-1,Very sheer inexpensive material. even on sale i'm returning it,Blouses
-1,Like the previous review said  i was excited to receive this top. i had grand visions of all the ways i could wear it! to my chagrin  when i put it on  it just fell right down and pooled around my waist. i wish there were smaller sizes to order. sadly  this is going back.,Blouses
-1,I don't have a large head but i could barely squeeze this blouse over mine. i also ordered the xs even though i'm usually a small and it was still blousier than i would have liked. already returned it. on the plus side  it's gorgeous.,Blouses
-1,I bought this top in the store  which was good because i ended up wearing a size smaller than i usually do. i loved the flowy fit of it. the washing instructions say machine wash cold  tumble dry low. i washed it on cold and hung it to dry. it shrank to the point of being unwearable (the dreaded button gap!) and lost its softness. i hope the store lets me return it.,Blouses
-1,Really wanted to love...but...the way it fit..lower part a tad too flowy...almost maternity like to hide a belly and the top area feels like my chest is being smushed! despite my bra size being a modest 36b...the look it gave was square on top almost block like with bottom that had flare...such a pretty top unfortunately the overall design just didn't work me.,Blouses
-1,Unfortunately this one is going back. the fit is very flattering and the underlying layer is very revealing in the back.,Blouses
-1,I love good  flowy blouses and like the over sized look  but this one didn't wow me. i thought the quality was just ok. it didn't flatter me. i almost liked it  but i didn't. i'm glad i tried it on  because looking at the pics online i thought i'd like it way more than i did. just not great.,Blouses
-1,Loved this shirt when i saw the picture. unfortunately fit was not what it needed to be to keep it. you can't really see in the photo but if you have any chest at all (i am only 34b...so would say of average size bust) this shirt will not fit well. there is a seam in the bust area that cuts across the bust which is not flattering/doesn't fit well . the sleeves were also a bit more tight than i'd have thought from the photo.  really wanted to love this - but unless you have a smaller chest it lik,Blouses
-1,Fits like a maternity top. not for my age group or build.,Blouses
0,It is a proper fitting oversized shirt. however  it is very flimsy and even see-through as a summer weight shirt. i returned it because i don't want to wear a tank or cami under it during hot weather.,Blouses
0,This model looks like a bauble head. she is absolutely too thin and sends the wrong message out to retailer shoppers. this last catalog's models are anorexic and unhealthy looking.    i ordered this shirt hoping it would fit  but it's too small for 34dd. i am tall athletic and have breasts.   i think of my shape as average - and the top didn't fit. it's cut narrow and small.,Blouses
0,"I'm 5'9"" and 155lb. i have been wearing small a but this was realllllly small especially at my arms. it made me look like i was taking off... much more beautiful on the model. a medium would e been too big on my torso. the color is amazing! made my blonde hair really pop. i don't love green but this was so different.  would love to find something else in this color that suits me! you need to be a super skinny waif to look good in this!",Blouses
0,I love the design of this blouse and the pattern  but the colors are a bit darker than in the photo. the quality is pretty poor. i feel like its a snag away from being ruined and thrown away and for this price it is just not worth the purchase. sending it back :(   it comes with a tank top; just to let others know.,Blouses
0,Saw this tunic on line and when it was immediately sold out i thought it had to be a winner. after several days of trolling on line the 2p was finally back in stock. now comes the disappointment. yes  the material is sheer but would be a nice weight for humid summer days. the front looked exactly like the model. cut with high side slits that truly made this a tunic. the back of this tunic is some sort of origami design. the fabric bunches out at the butt area. it's bad when you're standing and i,Blouses
0,I love the cut and aesthetic of this shirt  but the fabric unfortunately shows even the slightest hint of sweat  which makes it difficult to wear without being self conscious,Blouses
0,I ordered this top because i liked the look in the back  however  the top i received looks nothing like the back. online it shows that the back has elastic & is gathered. also online it shows thin straps (that look like a bra strap) but my top has no thin straps & no elastic~ extremely odd!! i called customer service but the lady i spoke to didn't have any information or complaints about the top. i'm holding on to the top because it is cute from the front  but i was really wanting the back to lo,Blouses
0,A pretty blouse but the polyester fabric makes it incredibly warm and uncomfortable on after a while. had to return it.,Blouses
0,The fit was fine  but the fabric (the beige option) was bland. it washed me out. granted  i'm fair skinned  but it reminded me of sour milk. it's getting returned.,Blouses
1,Wasn't sure whether i would like the top from the online picture  but it is so much more flattering in person. can be worn as a casual piece with denim skinnys or dressed up with a pencil skirt.,Blouses
1,Perfect trans top.  skinnies or boyfriend and booties.  love the mixed prints,Blouses
1,"Loved the look of the blouse online but the one i received has weird pattern placement that i'm not a fan of. mine was mostly cut from the ""mum/sunflower"" patterned fabric and none of the pretty teal and red pattern. the shirt online as a good combo of patterns-- mine is a solid mrs. roper-all-over-flower print! way overboard!! that said-- the cut is cute and the yoke at the back is a nice detail-- hoping i can exchange it for one that looks more like the online pic!",Blouses
1,I ordered the medium  my usual size for flowing tops. it fits nicely  looks amazing from the front and looks slimming. then i turned to the side and oh my...my boobs protruded like two big balloons. i looked like wonder woman. there was plenty of fabric and it was billowy so it wasn't the size just the cut. i do have 34 g's but what the heck? the color is glorious but it has to go back.,Blouses
